No Dosen,Nama Dosen,No Judul,Judul,No Grup Riset,Grup Riset,No Bidang,Nama Bidang,Nilai Prediksi,Deleted
23,"Dimas Wahyu Wibowo, ST., MT.",530,Hasil Pengujian Aplikasi Permainan Pada Anak Usia 7-11 Tahun Untuk Meningkatkan Konsentrasi,4,Information System,35,Computational Thinking,1.7698144222573668e-85,0
23,"Dimas Wahyu Wibowo, ST., MT.",531,Aplikasi Chatbot pada Sistem Informasi Penyewaan Scaffolding Menggunakan Metode TF-IDF,1,Sistem Cerdas,4,Penerapan Information Retrieval,1.4253728061747824e-25,0
23,"Dimas Wahyu Wibowo, ST., MT.",532,Penerapan Metode Pembelajaran Role Playing untuk Menentukan Minat Belajar Pada Aplikasi Senao Berbasis Android,5,Multimedia dan Game,38,Penerapan Augmented Reality,1.6078841067723256e-28,0
23,"Dimas Wahyu Wibowo, ST., MT.",533,Rancang Bangun Sistem Pemberian Hak Akses Dan Kendali Serta Monitoring Ruangan Jarak Jauh Menggunakan Raspberry PI Berbasis Android,2,Computer Network,11,Penerapan IoT,5.6988034629970767e-42,0
23,"Dimas Wahyu Wibowo, ST., MT.",534,IMPLEMENTASI METODE FUZZY MAMDANI DAN LINEAR CONGRUENTIAL GENERATOR LCG PADA GAME HIDDEN OBJECT,2,Computer Network,12,Penerapan Keamanan Data,8.593471473973951e-32,0
23,"Dimas Wahyu Wibowo, ST., MT.",535,PENINGKATAN KEMAMPUAN KONSENTRASI MENGGUNAKAN APLIKASI PERMAINAN PADA ANAK USIA 7-11 TAHUN,4,Information System,35,Computational Thinking,1.2568302762425639e-25,0
23,"Dimas Wahyu Wibowo, ST., MT.",536,IMPLEMENTASI GAMIFICATION PADA SISTEM PEMBELAJARAN DARING STUDI KASUS DI LEMBAGA BIMBINGAN BELAJAR PRIMAGAMA,5,Multimedia dan Game,37,Multimedia,5.550571421357517e-43,0
23,"Dimas Wahyu Wibowo, ST., MT.",537,PENGENALAN AKSARA JAWA MENGGUNAKAN AUGMENTED REALITY SEBAGAI MEDIA PEMBELAJARAN STUDI KASUS SDIT IBADURRAHMAN SRENGAT BLITAR,5,Multimedia dan Game,38,Penerapan Augmented Reality,2.410824147279937e-26,0
23,"Dimas Wahyu Wibowo, ST., MT.",538,IMPLEMENTASI METODE TF-IDF PADA APLIKASI CHATBOT BERBASIS WEB DALAM SISTEM PENJUALAN ONLINE STUDI KASUS PERCETAKAN RADJA PRINTING,4,Information System,33,Penerapan Customer Relationship Management,2.525290633338663e-35,0
23,"Dimas Wahyu Wibowo, ST., MT.",539,Perancangan Sistem Monitoring Suhu Ruangan Fermentasi Bawang Hitam Berbasis Mikrokontroler,2,Computer Network,11,Penerapan IoT,3.925309715777564e-19,0
23,"Dimas Wahyu Wibowo, ST., MT.",540,SISTEM INFORMASI PERAMALAN PENJUALAN KAYU UNTUK MEBEL DENGAN METODE TREND MOMENT di UD MAULANA JATI JEPARA,4,Information System,30,Penerapan Sistem Peramalan,8.554168254054121e-39,0
23,"Dimas Wahyu Wibowo, ST., MT.",541,SISTEM PENDUKUNG KEPUTUSAN DENGAN MENERAPKAN METODE ELECTRE DALAM MENENTUKAN RANGKING KINERJA KARYAWAN STUDI KASUS INSTANSI XYZ,4,Information System,31,Penerapan Sistem Pendukung Keputusan,7.835186827743555e-28,0
23,"Dimas Wahyu Wibowo, ST., MT.",542,SISTEM PAKAR DIAGNOSA PENYAKIT AYAM PULLET MENGGUNAKAN METODE DEMPSTER SHAFER,1,Sistem Cerdas,5,Penerapan Sistem Pakar,8.73764767979843e-35,0
23,"Dimas Wahyu Wibowo, ST., MT.",543,Pengembangan Sistem Pendukung Keputusan Pengolahan Pelanggaran Santri Menggunakan metode fuzzy AHP studi kasus pondok pesantren nurul islam antirogo sumbersari jember,4,Information System,31,Penerapan Sistem Pendukung Keputusan,2.990086820579333e-85,0
23,"Dimas Wahyu Wibowo, ST., MT.",544,SISTEM PENDUKUNG KEPUTUSAN UNTUK MENENTUKAN SISWA BERPRESTASI GUNA MEMONITORING KEGIATAN SISWA DI SEKOLAH,4,Information System,31,Penerapan Sistem Pendukung Keputusan,4.00508982386099e-44,0
23,"Dimas Wahyu Wibowo, ST., MT.",545,SISTEM PENERIMAAN SISWA BARU DI LEMBAGA PENDIDIKAN AL FALAH ASSALAM WARU SIDOARJO DENGAN METODE FUZZY TSUKAMOTO,4,Information System,31,Penerapan Sistem Pendukung Keputusan,3.548919808602664e-33,0
23,"Dimas Wahyu Wibowo, ST., MT.",546,SISTEM PAKAR DIAGNOSA AWAL PENYAKIT PULMONOLOGI MENGGUNAKAN METODE NAÏVE BAYES DAN CERTAINTY FACTOR,1,Sistem Cerdas,5,Penerapan Sistem Pakar,2.6590109784892278e-28,0
23,"Dimas Wahyu Wibowo, ST., MT.",547,SISTEM PENDUKUNG KEPUTUSAN DALAM MENENTUKAN BEASISWA BERPRESTASI MENGGUNAKAN METODE FUZZY STUDI KASUS INSTANSI XYZ,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.3030733298402526e-51,0
23,"Dimas Wahyu Wibowo, ST., MT.",548,Pengembangan Game Petualangan 3D Jelajah Puncak Mahameru Dengan Penentuan Jalur Pendakian Terbaik Menggunakan Algoritma a,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,2.769026281728604e-33,0
23,"Dimas Wahyu Wibowo, ST., MT.",549,SISTEM PENDUKUNG KEPUTUSAN TUMBUH KEMBANG ANAK USIA DINI MENGGUNAKAN METODE ELECTRE,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.7691808510698706e-29,0
23,"Dimas Wahyu Wibowo, ST., MT.",550,Perhitungan Jumlah dan Jenis Kendaraan Menggunakan Metode Fuzzy C-Means dan Segmentasi Menggunakan Deteksi Tepi Canny,3,Computer Vision,23,Penerapan Transformasi Citra,5.6207724867706694e-36,0
23,"Dimas Wahyu Wibowo, ST., MT.",551,RANCANG BANGUN APLIKASI REKOMENDASI PEMILIHAN JENIS TANAMAN HOLTIKULTURA MENGGUNAKAN METODE PROMETHEE,4,Information System,31,Penerapan Sistem Pendukung Keputusan,5.302954630093781e-29,0
23,"Dimas Wahyu Wibowo, ST., MT.",552,EVALUASI KINERJA KARYAWAN PADA PT LIVIA MANDIRI SEJATI JEMBER DENGAN MENGGUNAKAN METODE FUZZY ANALYTICAL HIERARCY PROCESS,4,Information System,31,Penerapan Sistem Pendukung Keputusan,6.864040721134369e-31,0
23,"Dimas Wahyu Wibowo, ST., MT.",553,RANCANG BANGUN MANAJEMEN TOOLS UNTUK PROYEK PERANGKAT LUNAK BERBASIS WEB,4,Information System,33,Penerapan Customer Relationship Management,2.600899004736083e-29,0
24,Dodit Suprianto SKom. MT.,554,PEMROGRAMAN APLIKASI ANDROID; Step by Membuat aplikasi Android Untuk Smartphone dan tablet,5,Multimedia dan Game,37,Multimedia,9.37489748721662e-21,0
24,Dodit Suprianto SKom. MT.,555,Sistem Pengenalan Wajah Secara Real-Time dengan Adaboost Eigenface PCA & MySQL,3,Computer Vision,19,Penerapan Pengenalan Pola,6.057879997080565e-25,0
24,Dodit Suprianto SKom. MT.,556,Analisis Hasil Pemanfaatan Media Pembelajaran Interaktif Aljabar Logika Dengan User Acceptance Test UAT,5,Multimedia dan Game,37,Multimedia,7.756316237609854e-36,0
24,Dodit Suprianto SKom. MT.,557,Membuat Aplikasi Dekstop Menggunakan MySQL & VB Net Secara Profesional,5,Multimedia dan Game,38,Penerapan Augmented Reality,1.9950985683791293e-21,0
24,Dodit Suprianto SKom. MT.,558,Analisis Perancangan Pemesanan Makanan Menggunakan Smartphone Berbasis Android,4,Information System,28,Penerapan Sistem Informasi Geografis,3.1092428215747674e-20,0
24,Dodit Suprianto SKom. MT.,559,Pelatihan Internet Dan Program Microsoft Office Untuk Membantu Administrasi Di Kelurahan Merjosari Kecamatan Lowokwaru Kota Malang,4,Information System,28,Penerapan Sistem Informasi Geografis,4.3296308557903567e-35,0
24,Dodit Suprianto SKom. MT.,560,Microcontroller arduino untuk pemula Disertai contoh-contoh projek menarikVol 1 Issue August,2,Computer Network,11,Penerapan IoT,3.782736256016455e-19,0
24,Dodit Suprianto SKom. MT.,561,Rancang Bangun Alat Pemberian Pakan Ikan Koki Otomatis Pada Aquarium Berbasis Mikrokontroler AT89S52,2,Computer Network,11,Penerapan IoT,5.3603298873549804e-27,0
24,Dodit Suprianto SKom. MT.,562,Pelatihan Desain Logo Dan Kemasan Produk UMKM di Wilayah Sekarpuro Kecamatan Pakis Kabupaten Malang,4,Information System,28,Penerapan Sistem Informasi Geografis,1.4078373595588374e-33,0
24,Dodit Suprianto SKom. MT.,563,Pelatihan desain grafis dan fotonovela untuk warga graphic and photonovela design training for citizens,4,Information System,35,Computational Thinking,1.1774588568579773e-29,0
24,Dodit Suprianto SKom. MT.,564,Sistem Pendukung Keputusan Rekomendasi Pembelian Mobil Keluarga Dengan Metode Topsis Dan Moora,4,Information System,31,Penerapan Sistem Pendukung Keputusan,7.2075304607731315e-50,0
24,Dodit Suprianto SKom. MT.,565,Ekosistem Kandang Ayam Pintar Untuk Pertumbuhan Ayam Broiler Secara Optimal Menggunakan Fuzzy Pada Platform IoT,2,Computer Network,11,Penerapan IoT,1.509307963896387e-70,0
24,Dodit Suprianto SKom. MT.,566,PENINGKATAN KREATIFITAS DAN INOVASI PADA GURU TK DAN PAUD DI DESA NGADIREJO MALANG DENGAN METODE PROBLEM BASE SOLVING,4,Information System,31,Penerapan Sistem Pendukung Keputusan,6.897690166747838e-35,0
24,Dodit Suprianto SKom. MT.,567,Analisis Forensik Digital Memori Volatile untuk Mendapatkan Kunci Enkripsi Aplikasi Dm-Crypt,2,Computer Network,18,Penerapan Enkripsi,1.9956060053716707e-58,0
24,Dodit Suprianto SKom. MT.,568,Internet of Things Menggunakan NodeMCU ESP8266-12E Untuk Pemula,2,Computer Network,11,Penerapan IoT,2.994658197785361e-14,0
24,Dodit Suprianto SKom. MT.,569,SISTEM INFORMASI KELUHAN PELANGGAN PDAM WILAYAH TUMPANG BERBASIS WEB,4,Information System,33,Penerapan Customer Relationship Management,5.660770597438011e-46,0
24,Dodit Suprianto SKom. MT.,570,IMPLEMENTASI ALGORITMA EXTREME LEARNING MACHINE UNTUK IDENTIFIKASI KOMPONEN GUI PADA PROTOTIPE APLIKASI MOBILE,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,4.520101258040027e-59,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",571,Penerapan Metode Double Exponential Smoothing Pada Peramalan Produksi Tanaman Pangan,4,Information System,30,Penerapan Sistem Peramalan,5.2758709352390865e-43,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",572,Normalisasi Tabel Pada Basisdata Relasional,4,Information System,30,Penerapan Sistem Peramalan,0,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",573,Rancang Bangun Sistem Informasi Akuntansi Berbasis Website menggunakan Framework Laravel,4,Information System,32,Penerapan Bisnis Elektronik Sistem Informasi,1.2835589342889589e-85,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",574,Klasifikasi menggunakan metode hybrid bayessian-neural network studi kasus identifikasi virus komputer,1,Sistem Cerdas,3,Penerapan Data Besar,2.279407213938955e-29,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",575,Identifikasi Kesegaran Daging Sapi Berdasarkan Citranya dengan Ekstraksi Fitur Warna dan Teksturnya Menggunakan Metode Gray Level Cooccurrence Matrix,3,Computer Vision,25,Penerapan Morfologi Citra Digital,1.23794175875766e-37,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",576,Peramalan Penjualan Daging Sapi Menggunakan Metode Trend Least Square,4,Information System,30,Penerapan Sistem Peramalan,3.2615277466423313e-46,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",577,Penggunaan Tansact SQL T-SQL Pada Pengembangan Aplikasi Manajemen Basis Data Berbasis Web,2,Computer Network,12,Penerapan Keamanan Data,3.590997787869303e-73,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",578,Aplikasi wordnet indonesia berdasarkan kamus thesaurus bahasa indonesia menggunakan algoritma rule based text parsing,1,Sistem Cerdas,4,Penerapan Information Retrieval,1.1526353423412867e-31,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",579,Penentuan Jarak Terpendek Menggunakan Metode Dijkstra Pada Data Spasial Openstreetmap Studi Kasus Pada Perusahaan Pengantaran Barang Wahana Logistik Kota Malang,4,Information System,28,Penerapan Sistem Informasi Geografis,1.3413024882777649e-96,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",580,Sistem Pakar Diagnosa Penyakit Gigi dan Mulut Menggunakan Metode Forward chaining Studi Kasus RS Brawijaya Malang,1,Sistem Cerdas,5,Penerapan Sistem Pakar,1.7395975744470663e-69,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",581,Sistem Pendukung Keputusan Penentuan Penerimaan Mahasiswa Baru Jalur Bidikmisi Menggunakan Metode Topsis Studi Kasus Politeknik Negeri Malang,4,Information System,31,Penerapan Sistem Pendukung Keputusan,6.295667505335187e-77,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",582,Penerapan Metode Single Exponential Smoothing Menggunakan Pendekatan Adaptif Pada Peramalan Jumlah Pelanggan dan Kebutuhan Air Pada PDAM Kota Probolinggo,4,Information System,30,Penerapan Sistem Peramalan,6.7964443831923106e-74,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",583,Deteksi Kepala Janin pada Gambar USG Menggunakan Fuzzy C-Means FCM dengan Informasi Spasial dan Iterative Randomized Hough Transform IRHT,3,Computer Vision,21,Penerapan Kompresi Citra,1.1495582927693402e-31,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",584,Sistem Pakar Diagnosa Penyakit Pada Burung Kenari Dengan Metode Certainty Factor,1,Sistem Cerdas,5,Penerapan Sistem Pakar,1.5851605164289469e-18,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",585,Pelatihan Administrasi Perkantoran Microsoft Office Untuk Warga dan Perangkat Desa Karangduren Kec Pakisaji Kab Malang,4,Information System,35,Computational Thinking,7.962462357024257e-111,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",586,Pemetaan Daerah Rawan Kecelakaan Menggunakan Metode Fuzzy C-Means,4,Information System,28,Penerapan Sistem Informasi Geografis,1.7522401167814737e-43,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",587,Peramalan Jumlah Kedatangan Wisatawan Mancanegara dengan Menggunakan Metode Time Invariant Fuzzy Time Series Studi Kasus Wisata Kabupaten Pasuruan,4,Information System,30,Penerapan Sistem Peramalan,2.3320074900569733e-87,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",588,Pengelompokan Kejadian Gempa Bumi menggunakan Fuzzy C-Means Clustering,1,Sistem Cerdas,6,Penerapan Penambangan Data,1.3037334184533555e-46,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",589,Implementasi K Nearest Neighbor KNN pada Klasifikasi Artikel Wikipedia Indonesia,1,Sistem Cerdas,7,Penerapan Penambangan Teks,1.0823799914774976e-19,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",590,Pengaruh Ukuran Perusahaan Anak Perusahaan Profitabilitas Leverage Dan Ukuran KAP Terhadap Audit Delay,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,3.574588615560604e-38,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",591,PELATIHAN PEMBUATAN PRESENTASI INTERAKTIF UNTUK WARGA DAN PERANGKAT DESA KARANGDUREN KEC PAKISAJI KAB MALANG,4,Information System,35,Computational Thinking,1.7586643098305192e-67,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",592,Mutu Cabai Merah Besar Segar capsicum annum l Pada Suhu Ruang Dengan Jenis Pengemasan Yang Berbeda Selama Penyimpanan,3,Computer Vision,23,Penerapan Transformasi Citra,4.9513735589610745e-54,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",593,Pengembangan Sistem Pendukung Keputusan Penentuan Kenaikan Jabatan Karyawan Pada Kantor Biro Perencanaan Perhutani Malangmenggunakan Metode PROFILE MATCHING,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.563881838711252e-36,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",594,Perancangan CRM Berbasis Web pada PT Pelayaran Sakti Inti Makmur Cabang Palembang,4,Information System,33,Penerapan Customer Relationship Management,1.751180807146068e-26,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",595,Penentuan Kinerja Karyawan Berdasarkan Produksi di Departemen Produksi Studi Kasus Pt nestle–Kejayan Pasuruan,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.1542240836608488e-61,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",596,Identifikasi Kemiripan Judul Tugas Akhir PSTI Dan PSMI Di Politeknik Negeri Malang,4,Information System,27,Penerapan Manajemen Informasi,1.2586257547801248e-54,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",597,Web Pembuat Puisi Otomatis Menggunakan Metode Monte Carlo,2,Computer Network,14,Penerapan Virtualisasi Jaringan,9.64728573224998e-41,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",598,Sistem Pendukung Keputusan Seleksi Pemain Futsal Menggunakan Metode SAW Simple Additive Weighting,4,Information System,31,Penerapan Sistem Pendukung Keputusan,7.27390236184707e-28,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",599,Perancangan Sistem Informasi Pelacakan Alumni Pada Program Studi Sistem Informasi Berbasis WEB,5,Multimedia dan Game,37,Multimedia,1.4702414758893298e-22,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",600,Penggunaan Analisis Regresi Logistik Untuk Menganalisis Perilaku Dan Faktor-Faktor Yang Mempengaruhi Minat Baca Pengunjung Badan Perpustakaan Propinsi Jawa Timur,1,Sistem Cerdas,3,Penerapan Data Besar,7.331154460440836e-56,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",601,HUBUNGAN MOTIVASI PELAYANAN PUBLIK DAN PERILAKU ORGANISASI POSITIF DENGAN KINERJA PEGAWAI PUSKESMAS KUNDUR BARAT KABUPATEN KARIMUN,4,Information System,31,Penerapan Sistem Pendukung Keputusan,2.9915523483718022e-36,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",602,Pengembangan Analisis Sentimen Pada Twitter Untuk Layanan Ojek Online Menggunakan Rule Based,4,Information System,33,Penerapan Customer Relationship Management,2.2282171161608563e-53,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",603,IDENTIFIKASI KARAKTER PLAT NOMOR KENDARAAN MENGGUNAKAN KECERDASAN ARTIFISIAL LEARNING VECTOR QUANTIZATION,3,Computer Vision,19,Penerapan Pengenalan Pola,7.985259317617798e-30,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",604,Pengembangan Sistem Rekomendasi Menu Paket Meeting Menggunakan Metode Fp-Growth Studi Kasus Lotus Garden Hotel Kediri,1,Sistem Cerdas,3,Penerapan Data Besar,1.3958504948838618e-29,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",605,Pengembangan sistem pengukuran korelasi antara tingkat pengangguran terbuka terhadap tingkat kriminalitas di Kota Malang,1,Sistem Cerdas,9,Penerapan Smart Living,6.070878928404476e-65,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",606,Teknologi Tepat Guna Pemanfaatan Listrik Daya Kecil untuk Pengelolaan Kandang pada Budidaya Ayam Pedaging di Desa Pucangsongo Kabupaten Malang,2,Computer Network,11,Penerapan IoT,8.280598530655749e-48,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",607,Pengembangan Sistem Deteksi Awal Penyakit Kewanitaan dan Kandungan Menggunakan metode Dempster Shafer,1,Sistem Cerdas,5,Penerapan Sistem Pakar,1.14058016427155e-40,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",608,Sistem Pakar Diagnosa Penyakit Ginjal Menggunakan Metode Dempster-Shafer,1,Sistem Cerdas,5,Penerapan Sistem Pakar,2.374313883102249e-13,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",609,DINAMIKA PENGAMBILAN KEPUTUSAN PADA PERILAKU BERESIKO KEHAMILAN TIDAK DIINGINKAN REMAJA,4,Information System,31,Penerapan Sistem Pendukung Keputusan,5.035506485505219e-25,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",610,Dinamika Koping pada Penyintas Nonsuicidal Self-Injury NSSI,4,Information System,31,Penerapan Sistem Pendukung Keputusan,0,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",611,SISTEM REPOSITORI DAN PENGARSIPAN UNTUK MANAJEMEN PENYIMPANAN DATA SURAT RESMI PADA DESA KARANGDUREN KABUPATEN MALANG,4,Information System,27,Penerapan Manajemen Informasi,1.6080568748788807e-79,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",612,PENGARUH KOMPENSASI FINANSIAL DAN NON FINANSIAL TERHADAP KINERJA DENGAN MOTIVASI SEBAGAI VARIABEL MEDIASI PADA KARYAWAN PT BANK RAKYAT INDONESIA PERSERO TBK KANTOR CABANG …,4,Information System,31,Penerapan Sistem Pendukung Keputusan,5.2285115765539144e-55,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",613,Pengaruh Kompensasi Finansial dan Non Finansial terhadap Kinerja Melalui Motivasi sebagai Variabel Mediasi pada Karyawan,4,Information System,34,Penerapan Pembelajaran Elektronik pada Sistem Informasi,9.320978346602016e-31,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",614,Model project based learning pengaruhnya terhadap kemampuan berpikir kreatif ditinjau dari multiple intelligences siswa,5,Multimedia dan Game,37,Multimedia,2.2160605483903656e-36,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",615,Workshop Pemanfaatan Teknologi untuk Memantau Tumbuh Kembang dan Kesehatan Balita,5,Multimedia dan Game,38,Penerapan Augmented Reality,2.0350471806850168e-91,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",616,REAKSI PASAR MODAL SEBELUM DAN SESUDAH PENGUMUMAN KEBIJAKAN PEMBATASAN SOSIAL BERSEKALA BESAR TERHADAP 4 EMITEN TELEKOMUNIKASI DI INDONESIA,1,Sistem Cerdas,6,Penerapan Penambangan Data,7.880564393332544e-36,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",617,Problematika Pembelajaran Jarak Jauh PJJ Mata Pelajaran Informatika pada Masa Pandemi di MAN 1 Kota Malang,5,Multimedia dan Game,37,Multimedia,2.992969579744957e-74,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",618,SISTEM INFORMASI AKUNTASI SAKTIPOL UNTUK PENGELOLAAN KEUANGAN PRODUK BATIK DAN BORDIR DI DESA PAKISAJI KABUPATEN MALANG,1,Sistem Cerdas,9,Penerapan Smart Living,5.9634057883025745e-92,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",619,Penerapan Konsep Collaborative Planning Forecasting And Replenishment CPFR Menggunakan Metode Autoregressive Integrated Moving Average ARIMAStudi Kasus Pabrik Kopi Senja …,4,Information System,30,Penerapan Sistem Peramalan,1.7513568166127645e-72,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",620,Sistem Informasi Pendaftaran dan Rekomendasi Lahan Baru,1,Sistem Cerdas,3,Penerapan Data Besar,2.227804499660154e-26,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",621,Aplikasi Chatbot untuk Reservasi Pijat Bayi dengan Metode Cosine Similarity,1,Sistem Cerdas,4,Penerapan Information Retrieval,3.2246261580841253e-38,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",622,KEAMANAN DATA SMART CARD PADA PENGEMBANGAN SISTEM PARKIR STUDI KASUS DI POLITEKNIK NEGERI MALANG,4,Information System,27,Penerapan Manajemen Informasi,9.454368566119796e-32,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",623,PENERAPAN ENTROPY BASED DISCRETIZATION PADA METODE NAIVE BAYES DALAM KLASIFIKASI PENYAKIT DIABETES MELLITUS,1,Sistem Cerdas,5,Penerapan Sistem Pakar,1.801516370273132e-41,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",624,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN DOSEN BERPRESTASI JURUSAN TEKNOLOGI INFORMASI DI POLITEKNIK NEGERI MALANG,4,Information System,31,Penerapan Sistem Pendukung Keputusan,8.883011311970718e-57,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",625,SISTEM INFORMASI PENJUALAN & REKOMENDASI PEMBELIAN HANDPHONE BEKAS MENGGUNAKAN METODE PROMETHEE,1,Sistem Cerdas,3,Penerapan Data Besar,4.496017977546831e-24,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",626,PENGEMBANGAN SISTEM INFORMASI KURIKULUM DAN DOKUMEN PBM PADA JURUSAN TEKNOLOGI INFORMASI POLITEKNIK NEGERI MALANG BERBASIS WEB,4,Information System,34,Penerapan Pembelajaran Elektronik pada Sistem Informasi,2.351227603632305e-32,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",627,IDENTIFIKASI KARAKTER PLAT NOMOR KENDARAAN DENGAN LEARNING VECTOR QUANTIZATION,3,Computer Vision,19,Penerapan Pengenalan Pola,2.9086302527960447e-49,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",628,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,5,Multimedia dan Game,37,Multimedia,4.9131241633968667e-57,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",629,PENGEMBANGAN APLIKASI MANAJEMEN WEBSITE JURUSAN TEKNOLOGI INFORMASI POLITEKNIK NEGERI MALANG MENGGUNAKAN KONSEP GAMIFIKASI,4,Information System,27,Penerapan Manajemen Informasi,9.968396760961255e-35,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",630,PENGEMBANGAN APLIKASI PENGELOLAAN KEGIATAN MASJID RAYA AN-NUR POLITEKNIK NEGERI MALANG BERBASIS PHP DAN MYSQL,5,Multimedia dan Game,37,Multimedia,1.4091623022796274e-75,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",631,TEXT EXTRACTION PADA PLAT NOMOR KENDARAAN BERMOTOR BERBASIS IMAGE PROCESSING MENGGUNAKAN METODE ZONING DAN SUPPORT VECTOR MACHINE,1,Sistem Cerdas,7,Penerapan Penambangan Teks,3.959630204473198e-86,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",632,Implementasi Single Pass Clustering pada Preprocessing Temu Kembali Koleksi Berita Teks,1,Sistem Cerdas,4,Penerapan Information Retrieval,1.2503000108483795e-26,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",633,ANALISIS IMPLEMENTASI PROGRAM BELA BELI KULON PROGO Studi Kasus Proyek PT Selo Adikarto Tahun 2013-2019,1,Sistem Cerdas,3,Penerapan Data Besar,4.2335135872736347e-29,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",634,PENERAPAN TEKNOLOGI INFORMASI UNTUK PROSES PRODUKSI DAN PEMASARAN PRODUK BATIK DAN BORDIR DI PAKISAJI KAB MALANG,4,Information System,32,Penerapan Bisnis Elektronik Sistem Informasi,4.156537472663372e-70,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",635,Pengembangan Aplikasi Kurikulum Pendidikan Tinggi Berbasis KKNI Studi Kasus Jurusan Teknologi Informasi Politeknik Negeri Malang,4,Information System,27,Penerapan Manajemen Informasi,3.580570729696583e-77,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",636,Sistem Pakar Diagnosa Penyakit Ayam Potong Broiler dengan Metode Fuzzy K-Nearest Neighbour,1,Sistem Cerdas,5,Penerapan Sistem Pakar,2.1788781972649814e-50,0
