,indeks_1,indeks_2,No,Nama Dosen,Judul Jurnal,Kata Judul Jurnal Hasil Filter
2763,2763,2764,267,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",SISTEM INFORMASI PELAYANAN PERIZINAN PADA KECAMATAN SIP3K GEMPOL BERBASIS WEBSITE,bas
2764,2764,2765,267,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",SISTEM INFORMASI PELAYANAN PERIZINAN PADA KECAMATAN SIP3K GEMPOL BERBASIS WEBSITE,website
2765,2765,2766,268,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",IMPLEMENTASI ANALISA KEMIRIPAN TEKS UNTUK PENENTUAN DINAS PADA KELUHAN WARGA DI PEMERINTAHAN DAERAH,analisa
2766,2766,2767,268,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",IMPLEMENTASI ANALISA KEMIRIPAN TEKS UNTUK PENENTUAN DINAS PADA KELUHAN WARGA DI PEMERINTAHAN DAERAH,mirip
2767,2767,2768,268,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",IMPLEMENTASI ANALISA KEMIRIPAN TEKS UNTUK PENENTUAN DINAS PADA KELUHAN WARGA DI PEMERINTAHAN DAERAH,teks
2768,2768,2769,268,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",IMPLEMENTASI ANALISA KEMIRIPAN TEKS UNTUK PENENTUAN DINAS PADA KELUHAN WARGA DI PEMERINTAHAN DAERAH,tentu
2769,2769,2770,268,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",IMPLEMENTASI ANALISA KEMIRIPAN TEKS UNTUK PENENTUAN DINAS PADA KELUHAN WARGA DI PEMERINTAHAN DAERAH,dinas
2770,2770,2771,268,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",IMPLEMENTASI ANALISA KEMIRIPAN TEKS UNTUK PENENTUAN DINAS PADA KELUHAN WARGA DI PEMERINTAHAN DAERAH,keluh
2771,2771,2772,268,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",IMPLEMENTASI ANALISA KEMIRIPAN TEKS UNTUK PENENTUAN DINAS PADA KELUHAN WARGA DI PEMERINTAHAN DAERAH,warga
2772,2772,2773,268,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",IMPLEMENTASI ANALISA KEMIRIPAN TEKS UNTUK PENENTUAN DINAS PADA KELUHAN WARGA DI PEMERINTAHAN DAERAH,perintah
2773,2773,2774,268,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",IMPLEMENTASI ANALISA KEMIRIPAN TEKS UNTUK PENENTUAN DINAS PADA KELUHAN WARGA DI PEMERINTAHAN DAERAH,daerah
2774,2774,2775,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,klasifikasi
2775,2775,2776,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,mutu
2776,2776,2777,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,daging
2777,2777,2778,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,kelapa
2778,2778,2779,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,dasar
2779,2779,2780,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,warna
2780,2780,2781,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,tekstur
2781,2781,2782,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,produksi
2782,2782,2783,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,wingko
2783,2783,2784,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,yang
2784,2784,2785,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,kualitas
2785,2785,2786,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,metode
2786,2786,2787,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,support
2787,2787,2788,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,vector
2788,2788,2789,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,machine
2789,2789,2790,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,svmstudi
2790,2790,2791,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,kasus
2791,2791,2792,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,ud
2792,2792,2793,269,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,putra
2793,2793,2794,270,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Peramalan Penjualan Daging Sapi Menggunakan Metode Trend Least Square,amal
2794,2794,2795,270,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Peramalan Penjualan Daging Sapi Menggunakan Metode Trend Least Square,jual
2795,2795,2796,270,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Peramalan Penjualan Daging Sapi Menggunakan Metode Trend Least Square,daging
2796,2796,2797,270,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Peramalan Penjualan Daging Sapi Menggunakan Metode Trend Least Square,sapi
2797,2797,2798,270,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Peramalan Penjualan Daging Sapi Menggunakan Metode Trend Least Square,metode
2798,2798,2799,270,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Peramalan Penjualan Daging Sapi Menggunakan Metode Trend Least Square,trend
2799,2799,2800,270,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Peramalan Penjualan Daging Sapi Menggunakan Metode Trend Least Square,least
2800,2800,2801,270,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Peramalan Penjualan Daging Sapi Menggunakan Metode Trend Least Square,square
2801,2801,2802,271,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",TOURIST GUIDE APPLICATION PENGENALAN POTENSI PARIWISATA KOTA MALANG MENGGUNAKAN HYBRID TECHNOLOGY,tourist
2802,2802,2803,271,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",TOURIST GUIDE APPLICATION PENGENALAN POTENSI PARIWISATA KOTA MALANG MENGGUNAKAN HYBRID TECHNOLOGY,guide
2803,2803,2804,271,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",TOURIST GUIDE APPLICATION PENGENALAN POTENSI PARIWISATA KOTA MALANG MENGGUNAKAN HYBRID TECHNOLOGY,application
2804,2804,2805,271,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",TOURIST GUIDE APPLICATION PENGENALAN POTENSI PARIWISATA KOTA MALANG MENGGUNAKAN HYBRID TECHNOLOGY,kenal
2805,2805,2806,271,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",TOURIST GUIDE APPLICATION PENGENALAN POTENSI PARIWISATA KOTA MALANG MENGGUNAKAN HYBRID TECHNOLOGY,potensi
2806,2806,2807,271,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",TOURIST GUIDE APPLICATION PENGENALAN POTENSI PARIWISATA KOTA MALANG MENGGUNAKAN HYBRID TECHNOLOGY,pariwisata
2807,2807,2808,271,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",TOURIST GUIDE APPLICATION PENGENALAN POTENSI PARIWISATA KOTA MALANG MENGGUNAKAN HYBRID TECHNOLOGY,kota
2808,2808,2809,271,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",TOURIST GUIDE APPLICATION PENGENALAN POTENSI PARIWISATA KOTA MALANG MENGGUNAKAN HYBRID TECHNOLOGY,malang
2809,2809,2810,271,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",TOURIST GUIDE APPLICATION PENGENALAN POTENSI PARIWISATA KOTA MALANG MENGGUNAKAN HYBRID TECHNOLOGY,hybrid
2810,2810,2811,271,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",TOURIST GUIDE APPLICATION PENGENALAN POTENSI PARIWISATA KOTA MALANG MENGGUNAKAN HYBRID TECHNOLOGY,technology
2811,2811,2812,272,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",MONITORING DAN PROFILING KONDISI INTENSITAS CAHAYA LAMPU DI RUANGAN MENGGUNAKAN METODE FUZZY TSUKAMOTO DAN RASPBERRY PI,monitoring
2812,2812,2813,272,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",MONITORING DAN PROFILING KONDISI INTENSITAS CAHAYA LAMPU DI RUANGAN MENGGUNAKAN METODE FUZZY TSUKAMOTO DAN RASPBERRY PI,profiling
2813,2813,2814,272,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",MONITORING DAN PROFILING KONDISI INTENSITAS CAHAYA LAMPU DI RUANGAN MENGGUNAKAN METODE FUZZY TSUKAMOTO DAN RASPBERRY PI,kondisi
2814,2814,2815,272,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",MONITORING DAN PROFILING KONDISI INTENSITAS CAHAYA LAMPU DI RUANGAN MENGGUNAKAN METODE FUZZY TSUKAMOTO DAN RASPBERRY PI,intensitas
2815,2815,2816,272,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",MONITORING DAN PROFILING KONDISI INTENSITAS CAHAYA LAMPU DI RUANGAN MENGGUNAKAN METODE FUZZY TSUKAMOTO DAN RASPBERRY PI,cahaya
2816,2816,2817,272,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",MONITORING DAN PROFILING KONDISI INTENSITAS CAHAYA LAMPU DI RUANGAN MENGGUNAKAN METODE FUZZY TSUKAMOTO DAN RASPBERRY PI,lampu
2817,2817,2818,272,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",MONITORING DAN PROFILING KONDISI INTENSITAS CAHAYA LAMPU DI RUANGAN MENGGUNAKAN METODE FUZZY TSUKAMOTO DAN RASPBERRY PI,ruang
2818,2818,2819,272,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",MONITORING DAN PROFILING KONDISI INTENSITAS CAHAYA LAMPU DI RUANGAN MENGGUNAKAN METODE FUZZY TSUKAMOTO DAN RASPBERRY PI,metode
2819,2819,2820,272,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",MONITORING DAN PROFILING KONDISI INTENSITAS CAHAYA LAMPU DI RUANGAN MENGGUNAKAN METODE FUZZY TSUKAMOTO DAN RASPBERRY PI,fuzzy
2820,2820,2821,272,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",MONITORING DAN PROFILING KONDISI INTENSITAS CAHAYA LAMPU DI RUANGAN MENGGUNAKAN METODE FUZZY TSUKAMOTO DAN RASPBERRY PI,tsukamoto
2821,2821,2822,272,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",MONITORING DAN PROFILING KONDISI INTENSITAS CAHAYA LAMPU DI RUANGAN MENGGUNAKAN METODE FUZZY TSUKAMOTO DAN RASPBERRY PI,raspberry
2822,2822,2823,272,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",MONITORING DAN PROFILING KONDISI INTENSITAS CAHAYA LAMPU DI RUANGAN MENGGUNAKAN METODE FUZZY TSUKAMOTO DAN RASPBERRY PI,pi
2823,2823,2824,273,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Absensi Kelas Otomatis Melalui Pengenalan Citra Wajah Menggunakan Metode Principal Component Analysis,absensi
2824,2824,2825,273,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Absensi Kelas Otomatis Melalui Pengenalan Citra Wajah Menggunakan Metode Principal Component Analysis,kelas
2825,2825,2826,273,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Absensi Kelas Otomatis Melalui Pengenalan Citra Wajah Menggunakan Metode Principal Component Analysis,otomatis
2826,2826,2827,273,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Absensi Kelas Otomatis Melalui Pengenalan Citra Wajah Menggunakan Metode Principal Component Analysis,lalu
2827,2827,2828,273,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Absensi Kelas Otomatis Melalui Pengenalan Citra Wajah Menggunakan Metode Principal Component Analysis,kenal
2828,2828,2829,273,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Absensi Kelas Otomatis Melalui Pengenalan Citra Wajah Menggunakan Metode Principal Component Analysis,citra
2829,2829,2830,273,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Absensi Kelas Otomatis Melalui Pengenalan Citra Wajah Menggunakan Metode Principal Component Analysis,wajah
2830,2830,2831,273,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Absensi Kelas Otomatis Melalui Pengenalan Citra Wajah Menggunakan Metode Principal Component Analysis,metode
2831,2831,2832,273,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Absensi Kelas Otomatis Melalui Pengenalan Citra Wajah Menggunakan Metode Principal Component Analysis,principal
2832,2832,2833,273,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Absensi Kelas Otomatis Melalui Pengenalan Citra Wajah Menggunakan Metode Principal Component Analysis,component
2833,2833,2834,273,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Absensi Kelas Otomatis Melalui Pengenalan Citra Wajah Menggunakan Metode Principal Component Analysis,analysis
2834,2834,2835,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,rancang
2835,2835,2836,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,bangun
2836,2836,2837,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,presensi
2837,2837,2838,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,qr
2838,2838,2839,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,code
2839,2839,2840,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,yang
2840,2840,2841,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,padu
2841,2841,2842,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,digital
2842,2842,2843,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,signature
2843,2843,2844,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,rsa
2844,2844,2845,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,face
2845,2845,2846,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,detection
2846,2846,2847,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,metode
2847,2847,2848,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,template
2848,2848,2849,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,matching
2849,2849,2850,274,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Rancang Bangun Sistem Presensi QR Code yang Dipadukan Dengan Digital Signature RSA dan Face Detection Menggunakan Metode Template Matching Berbasis Android,bas
2850,2850,2851,275,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Identifikasi Dan Prediksi Tingkat Kematangan Pisang Candi Dengan Fitur Warna Dan Tekstur Menggunakan Metode K-Nearest Neighbor,identifikasi
2851,2851,2852,275,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Identifikasi Dan Prediksi Tingkat Kematangan Pisang Candi Dengan Fitur Warna Dan Tekstur Menggunakan Metode K-Nearest Neighbor,prediksi
2852,2852,2853,275,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Identifikasi Dan Prediksi Tingkat Kematangan Pisang Candi Dengan Fitur Warna Dan Tekstur Menggunakan Metode K-Nearest Neighbor,tingkat
2853,2853,2854,275,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Identifikasi Dan Prediksi Tingkat Kematangan Pisang Candi Dengan Fitur Warna Dan Tekstur Menggunakan Metode K-Nearest Neighbor,matang
2854,2854,2855,275,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Identifikasi Dan Prediksi Tingkat Kematangan Pisang Candi Dengan Fitur Warna Dan Tekstur Menggunakan Metode K-Nearest Neighbor,pisang
2855,2855,2856,275,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Identifikasi Dan Prediksi Tingkat Kematangan Pisang Candi Dengan Fitur Warna Dan Tekstur Menggunakan Metode K-Nearest Neighbor,candi
2856,2856,2857,275,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Identifikasi Dan Prediksi Tingkat Kematangan Pisang Candi Dengan Fitur Warna Dan Tekstur Menggunakan Metode K-Nearest Neighbor,fitur
2857,2857,2858,275,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Identifikasi Dan Prediksi Tingkat Kematangan Pisang Candi Dengan Fitur Warna Dan Tekstur Menggunakan Metode K-Nearest Neighbor,warna
2858,2858,2859,275,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Identifikasi Dan Prediksi Tingkat Kematangan Pisang Candi Dengan Fitur Warna Dan Tekstur Menggunakan Metode K-Nearest Neighbor,tekstur
2859,2859,2860,275,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Identifikasi Dan Prediksi Tingkat Kematangan Pisang Candi Dengan Fitur Warna Dan Tekstur Menggunakan Metode K-Nearest Neighbor,metode
2860,2860,2861,275,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Identifikasi Dan Prediksi Tingkat Kematangan Pisang Candi Dengan Fitur Warna Dan Tekstur Menggunakan Metode K-Nearest Neighbor,k-nearest
2861,2861,2862,275,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Identifikasi Dan Prediksi Tingkat Kematangan Pisang Candi Dengan Fitur Warna Dan Tekstur Menggunakan Metode K-Nearest Neighbor,neighbor
2862,2862,2863,276,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Pengenalan Nilai Mata Uang Kertas Untuk Tunanetra Menggunakan Metode Template Matching Correlation Berbasis Android,kenal
2863,2863,2864,276,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Pengenalan Nilai Mata Uang Kertas Untuk Tunanetra Menggunakan Metode Template Matching Correlation Berbasis Android,nilai
2864,2864,2865,276,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Pengenalan Nilai Mata Uang Kertas Untuk Tunanetra Menggunakan Metode Template Matching Correlation Berbasis Android,mata
2865,2865,2866,276,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Pengenalan Nilai Mata Uang Kertas Untuk Tunanetra Menggunakan Metode Template Matching Correlation Berbasis Android,uang
2866,2866,2867,276,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Pengenalan Nilai Mata Uang Kertas Untuk Tunanetra Menggunakan Metode Template Matching Correlation Berbasis Android,kertas
2867,2867,2868,276,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Pengenalan Nilai Mata Uang Kertas Untuk Tunanetra Menggunakan Metode Template Matching Correlation Berbasis Android,tunanetra
2868,2868,2869,276,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Pengenalan Nilai Mata Uang Kertas Untuk Tunanetra Menggunakan Metode Template Matching Correlation Berbasis Android,metode
2869,2869,2870,276,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Pengenalan Nilai Mata Uang Kertas Untuk Tunanetra Menggunakan Metode Template Matching Correlation Berbasis Android,template
2870,2870,2871,276,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Pengenalan Nilai Mata Uang Kertas Untuk Tunanetra Menggunakan Metode Template Matching Correlation Berbasis Android,matching
2871,2871,2872,276,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Pengenalan Nilai Mata Uang Kertas Untuk Tunanetra Menggunakan Metode Template Matching Correlation Berbasis Android,correlation
2872,2872,2873,276,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Pengenalan Nilai Mata Uang Kertas Untuk Tunanetra Menggunakan Metode Template Matching Correlation Berbasis Android,bas
2873,2873,2874,277,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",SISTEM PRESENSI ANDROID BERBASIS QRCODE DAN DSRSA MENGGUNAKAN TEMPLATE MATCHING,presensi
2874,2874,2875,277,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",SISTEM PRESENSI ANDROID BERBASIS QRCODE DAN DSRSA MENGGUNAKAN TEMPLATE MATCHING,bas
2875,2875,2876,277,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",SISTEM PRESENSI ANDROID BERBASIS QRCODE DAN DSRSA MENGGUNAKAN TEMPLATE MATCHING,qrcode
2876,2876,2877,277,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",SISTEM PRESENSI ANDROID BERBASIS QRCODE DAN DSRSA MENGGUNAKAN TEMPLATE MATCHING,dsrsa
2877,2877,2878,277,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",SISTEM PRESENSI ANDROID BERBASIS QRCODE DAN DSRSA MENGGUNAKAN TEMPLATE MATCHING,template
2878,2878,2879,277,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",SISTEM PRESENSI ANDROID BERBASIS QRCODE DAN DSRSA MENGGUNAKAN TEMPLATE MATCHING,matching
2879,2879,2880,278,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",GAME EDUKASI “SUPRIJADI DON’T LOSS YOUR TOWER” BERBASIS ANDROID,game
2880,2880,2881,278,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",GAME EDUKASI “SUPRIJADI DON’T LOSS YOUR TOWER” BERBASIS ANDROID,edukasi
2881,2881,2882,278,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",GAME EDUKASI “SUPRIJADI DON’T LOSS YOUR TOWER” BERBASIS ANDROID,suprijadi
