No Judul,No Dosen,No Bidang,Judul,Nilai Prediksi
529,23,34,BUKU KAS BERBASIS WEBSITE PADA USAHA KATERING DI PANTI ASUHAN PUTRI AISYIYAH MALANG,7.850678818590716e-105
530,23,35,Hasil Pengujian Aplikasi Permainan Pada Anak Usia 7-11 Tahun Untuk Meningkatkan Konsentrasi,1.7698144222573668e-85
531,23,4,Aplikasi Chatbot pada Sistem Informasi Penyewaan Scaffolding Menggunakan Metode TF-IDF,1.4253728061747824e-25
532,23,38,Penerapan Metode Pembelajaran Role Playing untuk Menentukan Minat Belajar Pada Aplikasi Senao Berbasis Android,1.6078841067723254e-28
533,23,11,Rancang Bangun Sistem Pemberian Hak Akses Dan Kendali Serta Monitoring Ruangan Jarak Jauh Menggunakan Raspberry PI Berbasis Android,5.698803462997077e-42
534,23,12,IMPLEMENTASI METODE FUZZY MAMDANI DAN LINEAR CONGRUENTIAL GENERATOR LCG PADA GAME HIDDEN OBJECT,8.59347147397395e-32
535,23,35,PENINGKATAN KEMAMPUAN KONSENTRASI MENGGUNAKAN APLIKASI PERMAINAN PADA ANAK USIA 7-11 TAHUN,1.256830276242564e-25
536,23,37,IMPLEMENTASI GAMIFICATION PADA SISTEM PEMBELAJARAN DARING STUDI KASUS DI LEMBAGA BIMBINGAN BELAJAR PRIMAGAMA,5.550571421357517e-43
537,23,38,PENGENALAN AKSARA JAWA MENGGUNAKAN AUGMENTED REALITY SEBAGAI MEDIA PEMBELAJARAN STUDI KASUS SDIT IBADURRAHMAN SRENGAT BLITAR,2.410824147279937e-26
538,23,33,IMPLEMENTASI METODE TF-IDF PADA APLIKASI CHATBOT BERBASIS WEB DALAM SISTEM PENJUALAN ONLINE STUDI KASUS PERCETAKAN RADJA PRINTING,2.525290633338663e-35
539,23,11,Perancangan Sistem Monitoring Suhu Ruangan Fermentasi Bawang Hitam Berbasis Mikrokontroler,3.9253097157775644e-19
540,23,30,SISTEM INFORMASI PERAMALAN PENJUALAN KAYU UNTUK MEBEL DENGAN METODE TREND MOMENT di UD MAULANA JATI JEPARA,8.554168254054121e-39
541,23,31,SISTEM PENDUKUNG KEPUTUSAN DENGAN MENERAPKAN METODE ELECTRE DALAM MENENTUKAN RANGKING KINERJA KARYAWAN STUDI KASUS INSTANSI XYZ,7.835186827743555e-28
542,23,5,SISTEM PAKAR DIAGNOSA PENYAKIT AYAM PULLET MENGGUNAKAN METODE DEMPSTER SHAFER,8.73764767979843e-35
543,23,31,Pengembangan Sistem Pendukung Keputusan Pengolahan Pelanggaran Santri Menggunakan metode fuzzy AHP studi kasus pondok pesantren nurul islam antirogo sumbersari jember,2.990086820579333e-85
544,23,31,SISTEM PENDUKUNG KEPUTUSAN UNTUK MENENTUKAN SISWA BERPRESTASI GUNA MEMONITORING KEGIATAN SISWA DI SEKOLAH,4.00508982386099e-44
545,23,31,SISTEM PENERIMAAN SISWA BARU DI LEMBAGA PENDIDIKAN AL FALAH ASSALAM WARU SIDOARJO DENGAN METODE FUZZY TSUKAMOTO,3.548919808602664e-33
546,23,5,SISTEM PAKAR DIAGNOSA AWAL PENYAKIT PULMONOLOGI MENGGUNAKAN METODE NAÏVE BAYES DAN CERTAINTY FACTOR,2.6590109784892278e-28
547,23,31,SISTEM PENDUKUNG KEPUTUSAN DALAM MENENTUKAN BEASISWA BERPRESTASI MENGGUNAKAN METODE FUZZY STUDI KASUS INSTANSI XYZ,1.3030733298402526e-51
548,23,2,Pengembangan Game Petualangan 3D Jelajah Puncak Mahameru Dengan Penentuan Jalur Pendakian Terbaik Menggunakan Algoritma a,2.7690262817286038e-33
549,23,31,SISTEM PENDUKUNG KEPUTUSAN TUMBUH KEMBANG ANAK USIA DINI MENGGUNAKAN METODE ELECTRE,1.7691808510698708e-29
550,23,23,Perhitungan Jumlah dan Jenis Kendaraan Menggunakan Metode Fuzzy C-Means dan Segmentasi Menggunakan Deteksi Tepi Canny,5.620772486770669e-36
551,23,31,RANCANG BANGUN APLIKASI REKOMENDASI PEMILIHAN JENIS TANAMAN HOLTIKULTURA MENGGUNAKAN METODE PROMETHEE,5.302954630093781e-29
552,23,31,EVALUASI KINERJA KARYAWAN PADA PT LIVIA MANDIRI SEJATI JEMBER DENGAN MENGGUNAKAN METODE FUZZY ANALYTICAL HIERARCY PROCESS,6.864040721134369e-31
553,23,33,RANCANG BANGUN MANAJEMEN TOOLS UNTUK PROYEK PERANGKAT LUNAK BERBASIS WEB,2.600899004736083e-29
554,24,37,PEMROGRAMAN APLIKASI ANDROID; Step by Membuat aplikasi Android Untuk Smartphone dan tablet,9.37489748721662e-21
555,24,19,Sistem Pengenalan Wajah Secara Real-Time dengan Adaboost Eigenface PCA & MySQL,6.057879997080565e-25
556,24,37,Analisis Hasil Pemanfaatan Media Pembelajaran Interaktif Aljabar Logika Dengan User Acceptance Test UAT,7.756316237609854e-36
557,24,38,Membuat Aplikasi Dekstop Menggunakan MySQL & VB Net Secara Profesional,1.9950985683791293e-21
558,24,28,Analisis Perancangan Pemesanan Makanan Menggunakan Smartphone Berbasis Android,3.1092428215747674e-20
559,24,28,Pelatihan Internet Dan Program Microsoft Office Untuk Membantu Administrasi Di Kelurahan Merjosari Kecamatan Lowokwaru Kota Malang,4.3296308557903567e-35
560,24,11,Microcontroller arduino untuk pemula Disertai contoh-contoh projek menarikVol 1 Issue August,3.782736256016455e-19
561,24,11,Rancang Bangun Alat Pemberian Pakan Ikan Koki Otomatis Pada Aquarium Berbasis Mikrokontroler AT89S52,5.3603298873549804e-27
562,24,28,Pelatihan Desain Logo Dan Kemasan Produk UMKM di Wilayah Sekarpuro Kecamatan Pakis Kabupaten Malang,1.4078373595588374e-33
563,24,35,Pelatihan desain grafis dan fotonovela untuk warga graphic and photonovela design training for citizens,1.1774588568579773e-29
564,24,31,Sistem Pendukung Keputusan Rekomendasi Pembelian Mobil Keluarga Dengan Metode Topsis Dan Moora,7.2075304607731315e-50
565,24,11,Ekosistem Kandang Ayam Pintar Untuk Pertumbuhan Ayam Broiler Secara Optimal Menggunakan Fuzzy Pada Platform IoT,1.509307963896387e-70
566,24,31,PENINGKATAN KREATIFITAS DAN INOVASI PADA GURU TK DAN PAUD DI DESA NGADIREJO MALANG DENGAN METODE PROBLEM BASE SOLVING,6.897690166747837e-35
567,24,18,Analisis Forensik Digital Memori Volatile untuk Mendapatkan Kunci Enkripsi Aplikasi Dm-Crypt,1.9956060053716707e-58
568,24,11,Internet of Things Menggunakan NodeMCU ESP8266-12E Untuk Pemula,2.994658197785361e-14
569,24,33,SISTEM INFORMASI KELUHAN PELANGGAN PDAM WILAYAH TUMPANG BERBASIS WEB,5.660770597438011e-46
570,24,2,IMPLEMENTASI ALGORITMA EXTREME LEARNING MACHINE UNTUK IDENTIFIKASI KOMPONEN GUI PADA PROTOTIPE APLIKASI MOBILE,4.520101258040027e-59
571,25,30,Penerapan Metode Double Exponential Smoothing Pada Peramalan Produksi Tanaman Pangan,5.275870935239087e-43
572,25,30,Normalisasi Tabel Pada Basisdata Relasional,0.0
573,25,32,Rancang Bangun Sistem Informasi Akuntansi Berbasis Website menggunakan Framework Laravel,1.2835589342889589e-85
574,25,3,Klasifikasi menggunakan metode hybrid bayessian-neural network studi kasus identifikasi virus komputer,2.279407213938955e-29
575,25,25,Identifikasi Kesegaran Daging Sapi Berdasarkan Citranya dengan Ekstraksi Fitur Warna dan Teksturnya Menggunakan Metode Gray Level Cooccurrence Matrix,1.23794175875766e-37
576,25,30,Peramalan Penjualan Daging Sapi Menggunakan Metode Trend Least Square,3.2615277466423317e-46
577,25,12,Penggunaan Tansact SQL T-SQL Pada Pengembangan Aplikasi Manajemen Basis Data Berbasis Web,3.590997787869303e-73
578,25,4,Aplikasi wordnet indonesia berdasarkan kamus thesaurus bahasa indonesia menggunakan algoritma rule based text parsing,1.1526353423412867e-31
579,25,28,Penentuan Jarak Terpendek Menggunakan Metode Dijkstra Pada Data Spasial Openstreetmap Studi Kasus Pada Perusahaan Pengantaran Barang Wahana Logistik Kota Malang,1.3413024882777649e-96
580,25,5,Sistem Pakar Diagnosa Penyakit Gigi dan Mulut Menggunakan Metode Forward chaining Studi Kasus RS Brawijaya Malang,1.7395975744470663e-69
581,25,31,Sistem Pendukung Keputusan Penentuan Penerimaan Mahasiswa Baru Jalur Bidikmisi Menggunakan Metode Topsis Studi Kasus Politeknik Negeri Malang,6.295667505335187e-77
582,25,30,Penerapan Metode Single Exponential Smoothing Menggunakan Pendekatan Adaptif Pada Peramalan Jumlah Pelanggan dan Kebutuhan Air Pada PDAM Kota Probolinggo,6.796444383192311e-74
583,25,21,Deteksi Kepala Janin pada Gambar USG Menggunakan Fuzzy C-Means FCM dengan Informasi Spasial dan Iterative Randomized Hough Transform IRHT,1.1495582927693402e-31
584,25,5,Sistem Pakar Diagnosa Penyakit Pada Burung Kenari Dengan Metode Certainty Factor,1.5851605164289469e-18
585,25,35,Pelatihan Administrasi Perkantoran Microsoft Office Untuk Warga dan Perangkat Desa Karangduren Kec Pakisaji Kab Malang,7.962462357024257e-111
586,25,28,Pemetaan Daerah Rawan Kecelakaan Menggunakan Metode Fuzzy C-Means,1.7522401167814737e-43
587,25,30,Peramalan Jumlah Kedatangan Wisatawan Mancanegara dengan Menggunakan Metode Time Invariant Fuzzy Time Series Studi Kasus Wisata Kabupaten Pasuruan,2.3320074900569733e-87
588,25,6,Pengelompokan Kejadian Gempa Bumi menggunakan Fuzzy C-Means Clustering,1.3037334184533555e-46
589,25,7,Implementasi K Nearest Neighbor KNN pada Klasifikasi Artikel Wikipedia Indonesia,1.0823799914774976e-19
590,25,1,Pengaruh Ukuran Perusahaan Anak Perusahaan Profitabilitas Leverage Dan Ukuran KAP Terhadap Audit Delay,3.574588615560604e-38
591,25,35,PELATIHAN PEMBUATAN PRESENTASI INTERAKTIF UNTUK WARGA DAN PERANGKAT DESA KARANGDUREN KEC PAKISAJI KAB MALANG,1.7586643098305192e-67
592,25,23,Mutu Cabai Merah Besar Segar capsicum annum l Pada Suhu Ruang Dengan Jenis Pengemasan Yang Berbeda Selama Penyimpanan,4.951373558961074e-54
593,25,31,Pengembangan Sistem Pendukung Keputusan Penentuan Kenaikan Jabatan Karyawan Pada Kantor Biro Perencanaan Perhutani Malangmenggunakan Metode PROFILE MATCHING,1.563881838711252e-36
594,25,33,Perancangan CRM Berbasis Web pada PT Pelayaran Sakti Inti Makmur Cabang Palembang,1.751180807146068e-26
595,25,31,Penentuan Kinerja Karyawan Berdasarkan Produksi di Departemen Produksi Studi Kasus Pt nestle–Kejayan Pasuruan,1.1542240836608488e-61
596,25,27,Identifikasi Kemiripan Judul Tugas Akhir PSTI Dan PSMI Di Politeknik Negeri Malang,1.2586257547801248e-54
597,25,14,Web Pembuat Puisi Otomatis Menggunakan Metode Monte Carlo,9.64728573224998e-41
598,25,31,Sistem Pendukung Keputusan Seleksi Pemain Futsal Menggunakan Metode SAW Simple Additive Weighting,7.27390236184707e-28
599,25,37,Perancangan Sistem Informasi Pelacakan Alumni Pada Program Studi Sistem Informasi Berbasis WEB,1.4702414758893298e-22
600,25,3,Penggunaan Analisis Regresi Logistik Untuk Menganalisis Perilaku Dan Faktor-Faktor Yang Mempengaruhi Minat Baca Pengunjung Badan Perpustakaan Propinsi Jawa Timur,7.331154460440836e-56
601,25,31,HUBUNGAN MOTIVASI PELAYANAN PUBLIK DAN PERILAKU ORGANISASI POSITIF DENGAN KINERJA PEGAWAI PUSKESMAS KUNDUR BARAT KABUPATEN KARIMUN,2.9915523483718025e-36
602,25,33,Pengembangan Analisis Sentimen Pada Twitter Untuk Layanan Ojek Online Menggunakan Rule Based,2.2282171161608563e-53
603,25,19,IDENTIFIKASI KARAKTER PLAT NOMOR KENDARAAN MENGGUNAKAN KECERDASAN ARTIFISIAL LEARNING VECTOR QUANTIZATION,7.985259317617798e-30
604,25,3,Pengembangan Sistem Rekomendasi Menu Paket Meeting Menggunakan Metode Fp-Growth Studi Kasus Lotus Garden Hotel Kediri,1.3958504948838618e-29
605,25,9,Pengembangan sistem pengukuran korelasi antara tingkat pengangguran terbuka terhadap tingkat kriminalitas di Kota Malang,6.070878928404476e-65
606,25,11,Teknologi Tepat Guna Pemanfaatan Listrik Daya Kecil untuk Pengelolaan Kandang pada Budidaya Ayam Pedaging di Desa Pucangsongo Kabupaten Malang,8.280598530655748e-48
607,25,5,Pengembangan Sistem Deteksi Awal Penyakit Kewanitaan dan Kandungan Menggunakan metode Dempster Shafer,1.1405801642715498e-40
608,25,5,Sistem Pakar Diagnosa Penyakit Ginjal Menggunakan Metode Dempster-Shafer,2.374313883102249e-13
609,25,31,DINAMIKA PENGAMBILAN KEPUTUSAN PADA PERILAKU BERESIKO KEHAMILAN TIDAK DIINGINKAN REMAJA,5.035506485505219e-25
610,25,31,Dinamika Koping pada Penyintas Nonsuicidal Self-Injury NSSI,0.0
611,25,27,SISTEM REPOSITORI DAN PENGARSIPAN UNTUK MANAJEMEN PENYIMPANAN DATA SURAT RESMI PADA DESA KARANGDUREN KABUPATEN MALANG,1.6080568748788807e-79
612,25,31,PENGARUH KOMPENSASI FINANSIAL DAN NON FINANSIAL TERHADAP KINERJA DENGAN MOTIVASI SEBAGAI VARIABEL MEDIASI PADA KARYAWAN PT BANK RAKYAT INDONESIA PERSERO TBK KANTOR CABANG …,5.228511576553914e-55
613,25,34,Pengaruh Kompensasi Finansial dan Non Finansial terhadap Kinerja Melalui Motivasi sebagai Variabel Mediasi pada Karyawan,9.320978346602016e-31
614,25,37,Model project based learning pengaruhnya terhadap kemampuan berpikir kreatif ditinjau dari multiple intelligences siswa,2.2160605483903656e-36
615,25,38,Workshop Pemanfaatan Teknologi untuk Memantau Tumbuh Kembang dan Kesehatan Balita,2.0350471806850168e-91
616,25,6,REAKSI PASAR MODAL SEBELUM DAN SESUDAH PENGUMUMAN KEBIJAKAN PEMBATASAN SOSIAL BERSEKALA BESAR TERHADAP 4 EMITEN TELEKOMUNIKASI DI INDONESIA,7.880564393332544e-36
617,25,37,Problematika Pembelajaran Jarak Jauh PJJ Mata Pelajaran Informatika pada Masa Pandemi di MAN 1 Kota Malang,2.992969579744957e-74
618,25,9,SISTEM INFORMASI AKUNTASI SAKTIPOL UNTUK PENGELOLAAN KEUANGAN PRODUK BATIK DAN BORDIR DI DESA PAKISAJI KABUPATEN MALANG,5.963405788302575e-92
619,25,30,Penerapan Konsep Collaborative Planning Forecasting And Replenishment CPFR Menggunakan Metode Autoregressive Integrated Moving Average ARIMAStudi Kasus Pabrik Kopi Senja …,1.7513568166127645e-72
620,25,3,Sistem Informasi Pendaftaran dan Rekomendasi Lahan Baru,2.227804499660154e-26
621,25,4,Aplikasi Chatbot untuk Reservasi Pijat Bayi dengan Metode Cosine Similarity,3.224626158084125e-38
622,25,27,KEAMANAN DATA SMART CARD PADA PENGEMBANGAN SISTEM PARKIR STUDI KASUS DI POLITEKNIK NEGERI MALANG,9.454368566119796e-32
623,25,5,PENERAPAN ENTROPY BASED DISCRETIZATION PADA METODE NAIVE BAYES DALAM KLASIFIKASI PENYAKIT DIABETES MELLITUS,1.801516370273132e-41
624,25,31,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN DOSEN BERPRESTASI JURUSAN TEKNOLOGI INFORMASI DI POLITEKNIK NEGERI MALANG,8.883011311970718e-57
625,25,3,SISTEM INFORMASI PENJUALAN & REKOMENDASI PEMBELIAN HANDPHONE BEKAS MENGGUNAKAN METODE PROMETHEE,4.496017977546831e-24
626,25,34,PENGEMBANGAN SISTEM INFORMASI KURIKULUM DAN DOKUMEN PBM PADA JURUSAN TEKNOLOGI INFORMASI POLITEKNIK NEGERI MALANG BERBASIS WEB,2.351227603632305e-32
627,25,19,IDENTIFIKASI KARAKTER PLAT NOMOR KENDARAAN DENGAN LEARNING VECTOR QUANTIZATION,2.9086302527960447e-49
628,25,37,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,4.9131241633968667e-57
629,25,27,PENGEMBANGAN APLIKASI MANAJEMEN WEBSITE JURUSAN TEKNOLOGI INFORMASI POLITEKNIK NEGERI MALANG MENGGUNAKAN KONSEP GAMIFIKASI,9.968396760961255e-35
630,25,37,PENGEMBANGAN APLIKASI PENGELOLAAN KEGIATAN MASJID RAYA AN-NUR POLITEKNIK NEGERI MALANG BERBASIS PHP DAN MYSQL,1.4091623022796274e-75
631,25,7,TEXT EXTRACTION PADA PLAT NOMOR KENDARAAN BERMOTOR BERBASIS IMAGE PROCESSING MENGGUNAKAN METODE ZONING DAN SUPPORT VECTOR MACHINE,3.959630204473198e-86
632,25,4,Implementasi Single Pass Clustering pada Preprocessing Temu Kembali Koleksi Berita Teks,1.2503000108483795e-26
633,25,3,ANALISIS IMPLEMENTASI PROGRAM BELA BELI KULON PROGO Studi Kasus Proyek PT Selo Adikarto Tahun 2013-2019,4.2335135872736347e-29
634,25,32,PENERAPAN TEKNOLOGI INFORMASI UNTUK PROSES PRODUKSI DAN PEMASARAN PRODUK BATIK DAN BORDIR DI PAKISAJI KAB MALANG,4.156537472663372e-70
635,25,27,Pengembangan Aplikasi Kurikulum Pendidikan Tinggi Berbasis KKNI Studi Kasus Jurusan Teknologi Informasi Politeknik Negeri Malang,3.580570729696583e-77
636,25,5,Sistem Pakar Diagnosa Penyakit Ayam Potong Broiler dengan Metode Fuzzy K-Nearest Neighbour,2.1788781972649814e-50
637,25,28,SISTEM KLASTERISASI WILAYAH BERDASARKAN PARTISIPASI TINGKAT PENDIDIKAN DAN EKONOMI PENDUDUK PROVINSI JAWA TIMUR,7.601718639944715e-30
638,25,30,PENGEMBANGAN SISTEM PERAMALAN JUMLAH STOCK IKAN DI TPI SENDANGBIRU MALANG,2.3243221769982986e-17
639,25,3,PENGEMBANGAN KLASTERISASI WILAYAH BERDASARKAN TINGKAT PENGANGGURAN PENDUDUK MENGGUNAKAN METODE K-MEANS CLUSTERING,2.261600712766281e-28
640,25,3,PEMETAAN KONDISI JALAN BERDASARKAN JENIS DAN TINGKAT KERUSAKAN JALAN DENGAN MENGGUNAKAN DATA SPASIAL OPENSTREEETMAPS,5.318452121891775e-66
641,25,7,KLASIFIKASI PENENTUAN KEBUTUHAN NUTRISI BALITA MENGGUNAKAN METODE NAÏVE BAYES CLASSIFIER,8.144940687638367e-52
642,25,3,PENGEMBANGAN SISTEM PENGELOMPOKAN SEKOLAH PENDIDIKAN SMP MENGGUNAKAN ALGORITMA K-MEANS,1.5709676342095217e-22
643,25,31,PENGEMBANGAN KLASTERISASI WILAYAH BERDASARKAN KEMISKINAN PENDUDUK MENGGUNAKAN METODE FUZZY C-MEANS,7.275498072586772e-61
644,25,31,Sistem Pendukung Keputusan Pemilihan Siswa Pertukaran Pelajar di Sman 3 Malang dengan Metode Ahp Topsis,2.972968706088632e-61
645,25,27,PENGEMBANGAN SISTEM PENDETEKSI BANJIR MENGGUNAKAN FUZZY DENGAN RASPBERRY PI STUDI KASUS KABUPATEN SAMPANG,3.4125312924453506e-57
646,25,31,PENGEMBANGAN SISTEM PENDUKUNG KEPUTUSAN SPK PENERIMAAN PEGAWAI HONORER GURU DENGAN MENGGUNAKAN METODE PROFILE MATCHING BERBASIS WEB STUDI KASUS SMA NEGERI 2 BATU,1.2317638731063517e-110
647,25,28,PENGEMBANGAN SISTEM OPTIMASI RUTE TERPENDEK PENGANGKUTAN SAMPAH DI KOTA MALANG,1.9920148669194498e-50
648,25,5,PENGEMBANGAN SISTEM PENENTUAN UNIT KERJA KARYAWAN PADA PT ANEKA MODE INDONESIA BERDASARKAN PSIKOTEST MENGGUNAKAN METODE FORWARD CHAINING,3.8370217148587195e-40
649,25,31,RANCANG BANGUN SISTEM PENDUKUNG KEPUTUSAN UNTUK MENENTUKAN PRIORITAS PERBAIKAN SARPRAS WISATA ALAM DI TAMAN NASIONAL BROMO TENGGER SEMERU MENGGUNAKAN METODE SAW,1.3594304785647785e-35
650,25,31,PENGEMBANGAN SISTEM PENDUKUNG KEPUTUSAN UNTUK MENENTUKAN LOKASI PEMBANGUNAN MINIMARKET BARU DI KOTA BOJONEGORO DENGAN METODE TOPSIS BERBASIS GIS,9.703689874886036e-36
651,25,22,Sistem Temu Kembali Citra Dengan Histogram Fuzzy Dan Chi-square Distance,6.619521987110321e-21
652,25,9,Perhitungan Dan Makna Waktu Bagi Suku Tengger Di Desa Ngadas Bromo,1.7911505542139816e-18
653,25,31,Spk Pemilihan Siswa Pertukaran Pelajar di Sman 3 Malang dengan Metode Ahp Topsis,1.400119385614278e-61
654,25,31,SISTEM PENENTUAN LINTASAN TERPENDEK TRAVELING SALESMAN PROBLEM DENGAN ALGORITMA SIMPLE HILL CLIMBING,6.086835310429055e-25
655,25,15,SISTEM INFORMASI MANAJEMEN ADIWIYATA PADA KEMENTERIAN LINGKUNGAN HIDUP REPUBLIK INDONESIA,7.5486010795550555e-22
656,25,15,Analisis Empiris Hubungan Pertumbuhan Ekonomi Dengan Emisi Karbondioksida di Kawasan Asia Timur,5.89338119933205e-19
657,25,35,Pelatihan Keterampilan Sosial Social Skill Training Untuk Menurunkan Perilaku Agresif Anak Yang Berada Di UPTD Kampung Anak Negeri Surabaya,8.111218407555145e-45
658,25,34,Faktor-faktor Yang Mempengaruhi Tingkat Pajak Efektif Perusahaan Multinasional Di Bursa Efek Indonesia BEI,3.5356199166806454e-24
659,25,32,Sistem Informasi Akuntansi Pengelolaan Keuangan dan Anggaran Badan Usaha Milik Desa BUMDesStudi Kasus BUMDes Desa Pakisaji Kabupaten Malang,5.019620597657334e-143
660,25,3,Sistem informasi penjualan & rekomendasi pembelian handphone bekas menggunakan metode promethee,4.496017977546831e-24
661,26,28,Aplikasi chatbot objek wisata jawa timur berbasis aiml,4.832568011841447e-43
662,26,32,Rancang Bangun Chatbot Untuk Meningkatkan Performa Bisnis,4.873684301286301e-39
663,26,5,Integrasi sistem pakar dan algoritma genetika untuk mengidentifikasi status gizi pada balita,1.3114564940724648e-27
664,26,31,Penerapan Metode Promethee Dalam Seleksi Beasiswa Mahasiswa Berprestasi,2.4625266762870962e-33
665,26,28,Penggunaan Vissim Model Pada Jalur Lalu Lintas Empat Ruas,3.490568755918532e-14
666,26,28,Analisis spasial untuk mengidentifikasi tingkat pengangguran terbuka berdasarkan kabupaten/kota di Pulau Jawa tahun 2017,1.177692615306756e-39
667,26,31,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,7.781784636273913e-44
668,26,4,Analisis Metode Cosine Similarity Pada Aplikasi Ujian Online Otomatis Studi Kasus JTI POLINEMA,1.5573561048668337e-91
669,26,31,Implementasi Metode AHP dan Promethee Pada SPK Pemilihan Hotel,4.898143195364845e-36
670,26,38,Penerapan Library AR JS untuk Pembuatan Augmented Reality Sebagai Media Pembelajaran Pengenalan Hewan,3.252809552164369e-76
671,26,31,Penerapan Metode Topsis pada Sistem Pendukung Keputusan untuk Kota yang Menerapkan Pembatasan Sosial Berskala Besar yang di Sebabkan Wabah Corona,2.255917867628858e-36
672,26,31,Sistem Pendukung Keputusan Pemilihan Dosen Berprestasi Menggunakan Metode Promethee,3.917607733914449e-18
673,26,31,Sistem Pendukung Keputusan Menentukan Lovebird Unggul dalam Perlombaan Menggunakan Metode AHP-Topsis,1.625253561204364e-20
674,26,31,Implementasi Metode Topsis Dalam Sistem Pendukung Keputusan Keringanan UKT Studi Kasus STIT Madina Sragen,8.65403382600373e-37
675,26,38,Augmented Reality Untuk Sistem Pernafasan Pada Manusia,4.510825103958728e-15
676,26,35,Pelatihan Pengenalan Rambu-Rambu Lalu Lintas dan Prioritas Pengguna Jalan Menggunakan Media Interaktif,3.948163480860703e-101
677,26,31,Implementasi Fuzzy Inference System untuk Menentukan Alat Kontrasepsi Program Keluarga Berencana,1.4682922734113648e-25
678,26,30,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,4.581953646322369e-64
679,26,31,SISTEM PENDUKUNG KEPUTUSAN UNTUK MENENTUKAN LOKASI PETERANAKAN AYAM PETELUR MENGGUNAKAN METODE WEIGHTED AGGREGATED SUM PRODUCT ASSESSMENT,3.0870925058372746e-64
680,26,36,IMPLEMENTASI SCRUM MODEL DALAM PENGEMBANGAN GAME EDUKASI LALU LINTAS,2.897954501684767e-43
681,26,7,Aplikasi “Loan Appraisal Generator” Untuk Menentukan Kelayakan Pemberian Pinjaman Dengan Menggunakan Metode Naïve Bayes Classifier,2.6248339990910773e-63
682,26,28,Pencarian Rute Terpendek Dengan Pendekatan TSP Menggunakan Metode Algoritma Genetika Studi Kasus Kabupaten Nganjuk,1.8435359766041324e-61
683,26,30,Sistem Informasi PT Bintang Sidoraya Dengan Peramalan Penjualan Menggunakan Metode Statistical Parabolic Projection,9.064999512639448e-36
684,26,27,SISTEM INFORMASI MANAJEMEN PEMESANAN USAHA KATERING DI PANTI ASUHAN PUTRI AISYIYAH MALANG,1.8775237475697857e-77
685,26,30,Analisis Peramalan Peluang Bisnis Tanah Menggunakan Metode Double Exponential Smoothing,6.707722471264674e-54
686,26,34,BUKU KAS BERBASIS WEBSITE PADA USAHA KATERING DI PANTI ASUHAN PUTRI AISYIYAH MALANG,7.850678818590716e-105
687,26,35,Hasil Pengujian Aplikasi Permainan Pada Anak Usia 7-11 Tahun Untuk Meningkatkan Konsentrasi,1.7698144222573668e-85
688,26,31,Penilaian Dosen Berprestasi menggunakan Metode Waspas,3.8099860148771855e-30
689,26,31,Sistem Pendukung Keputusan Berbasis Website Dalam Menentukan Kelayakan Pembuatan Sertifikat Tanah Menggunakan Metode Analytic Network Process ANP,1.5561079265102757e-79
690,26,31,SISTEM PENDUKUNG KEPUTUSAN UNTUK SELEKSI ATLET BASEBALL DAN SOFTBALL TIM KOTA MALANG MENGGUNAKAN METODE VIKOR,5.2789576599574766e-24
691,26,31,SISTEM PENDUKUNG KEPUTUSAN PENEMPATAN SISWA PKL MENGGUNAKAN METODE MOORA DAN SIMPLE ADDITIVE WEIGHTING STUDI KASUS SMKN 5 MALANG,1.1037932564852751e-40
692,26,30,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,9.969174323858832e-51
693,26,28,SISTEM INFORMASI PELATIHAN DI INSTANSI TENAGA KERJA AMONG TANI BERBASIS WEBSITE,4.130010972245118e-40
694,26,4,PENERAPAN METODE COSINE SIMILARITY PADA APLIKASI UJIAN ONLINE ESSAY OTOMATIS STUDI KASUS JTI POLINEMA,5.835193401812769e-56
695,26,30,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,8.660226932006782e-82
696,26,38,PEMODELAN KONTEN AUGMENTED REALITY DALAM KONSEP INTERACTIVE REALTIME,1.0199405402610435e-55
697,26,28,Game Edukasi Lalu Lintas Berbasis Web untuk Meningkatkan Pemahaman Rambu Lalu Lintas,4.890798021917131e-63
698,26,31,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN OBJEK WISATA UNGGULAN MENGGUNAKAN METODE MOORA STUDI KASUS KABUPATEN TULUNGAGUNG,6.269669958012809e-62
699,26,4,Information Retrieval publikasi ilmiah bidang kesehatan menggunakan metode Vector Space Model VSM,1.1908373995110172e-32
700,26,3,Clustering Untuk Sistem Manajemen Penjualan Di Klinik Laptop Menggunakan Metode Self Organizing Maps SOM,2.6779344625756088e-61
701,26,28,PENCARIAN OBJEK WISATA DI MADURA BERBASIS SEMANTIK MENGGUNAKAN METODELOGI ONTOLOGI,3.716047781444129e-16
